Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Entomologica Fennica,0.281,Q4,20,20,61,https://www.scimagojr.com/journalsearch.php?q=19797&tip=sid&clean=0,0785-8760,C
Journal of Orthoptera Research,0.273,Q4,16,16,50,https://www.scimagojr.com/journalsearch.php?q=19500157423&tip=sid&clean=0,1082-6467/1937-2426,C
Pirineos,0.26899999999999996,Q4,12,8,24,http://pirineos.revistas.csic.es/index.php/pirineos,0373-2568/1988-4281,B
Entomological Review,0.268,Q4,14,134,390,http://www.springer.com/life+sciences/animal+sciences/journal/11474,0013-8738/1555-6689,C
Asian Myrmecology,0.263,Q4,12,0,39,https://www.scimagojr.com/journalsearch.php?q=21100211753&tip=sid&clean=0,1985-1944,B
Check List,0.263,Q4,20,135,625,https://checklist.pensoft.net/,1809-127X,B
Entomologist's Gazette (discontinued),0.263,Q4,18,0,50,https://www.pemberleybooks.com/journals/Entomologists_Gazette.asp,Sin informacion,No
Polish Journal of Ecology,0.263,Q4,26,37,128,http://www.pol.j.ecol.cbe-pan.pl/,1505-2249/2450-1395,B
Entomologica Americana,0.26,Q4,17,6,50,https://www.scimagojr.com/journalsearch.php?q=19700170614&tip=sid&clean=0,0096-3712/1947-5136,C
Western North American Naturalist,0.256,Q4,33,44,169,http://wnan.byu.edu/,1527-0904/1944-8341,B
Natura Croatica,0.254,Q4,20,35,80,http://hrcak.srce.hr/natura-croatica?lang=en,1330-0520,B
Ciencias Marinas,0.253,Q4,27,15,56,http://www.cienciasmarinas.com.mx/index.php/cmarinas,0185-3880,C
Wildfowl,0.252,Q4,19,0,36,https://www.scimagojr.com/journalsearch.php?q=22758&tip=sid&clean=0,0954-6324/2052-6458,B
Journal of the Kansas Entomological Society,0.249,Q4,32,23,90,https://www.scimagojr.com/journalsearch.php?q=30280&tip=sid&clean=0,0022-8567/1937-2353,C
Revista de Biologia Marina y Oceanografia,0.244,Q4,23,37,177,http://www.revbiolmar.cl/,0717-3326/0718-1957,B
Journal of the Entomological Research Society,0.243,Q4,12,30,96,http://www.entomol.org/journal/index.php?journal=JERS,1302-0250,C
Odonatologica,0.235,Q4,23,8,63,http://odonatologica.eiu.edu/,0375-0183,C
Revista Ambiente e Agua,0.23399999999999999,Q4,11,75,262,http://www.ambi-agua.net/seer/index.php/ambi-agua/index,1980-993X,B
Northeastern Naturalist,0.233,Q4,27,71,192,http://www.bioone.org/page/nena/aims,1092-6194/1938-5307,C
Acta Ecologica Sinica,0.22899999999999998,Q4,41,869,2577,http://www.elsevier.com/wps/find/journaldescription.cws_home/709341/description#description,1000-0933/1872-2032,B
