Nombre,Enlace,Categoria,CantidadArticulos
Science,http://www.sciencemag.org/magazine.dtl,Q1,6816
Administrative Science Quarterly,https://journals.sagepub.com/home/asq,Q1,77
Psychological Bulletin,http://www.apa.org/pubs/journals/bul/index.aspx,Q1,147
Journal of Consumer Research,http://www.ejcr.org/,Q1,189
Psychological Methods,https://www.apa.org/pubs/journals/met/index,Q1,132
Psychological Review,https://www.apa.org/pubs/journals/rev/,Q1,119
Modern Language Journal,https://onlinelibrary.wiley.com/journal/15404781,Q1,158
Multivariate Behavioral Research,https://www.tandfonline.com/toc/hmbr20/current,Q1,189
Nous,https://onlinelibrary.wiley.com/journal/14680068,Q1,125
Journal of Econometrics,https://www.journals.elsevier.com/journal-of-econometrics,Q1,407
Journal of Communication,https://onlinelibrary.wiley.com/journal/14602466,Q1,175
The Philosophical Review,https://www.dukeupress.edu/the-philosophical-review,Q1,33
Studies in Second Language Acquisition,https://www.cambridge.org/core/journals/studies-in-second-language-acquisition,Q1,93
Applied Linguistics,https://academic.oup.com/applij,Q1,123
Journal of Memory and Language,https://www.journals.elsevier.com/journal-of-memory-and-language,Q1,226
Journal of Peasant Studies,https://www.tandfonline.com/loi/fjps20,Q1,183
Public Opinion Quarterly,https://academic.oup.com/poq,Q1,141
Behavior Research Methods,https://www.springer.com/psychology/cognitive+psychology/journal/13428,Q1,486
Political Psychology,https://onlinelibrary.wiley.com/journal/14679221,Q1,218
Language Teaching Research,https://journals.sagepub.com/home/ltr,Q1,139
Psychonomic Bulletin and Review,https://www.springer.com/journal/13423,Q1,627
Human Relations,https://journals.sagepub.com/home/hum,Q1,214
Gender and Society,https://journals.sagepub.com/home/gas,Q1,96
IEEE Signal Processing Magazine,https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER310-PRT,Q1,279
British Journal of Mathematical and Statistical Psychology,https://onlinelibrary.wiley.com/journal/20448317,Q1,71
Communication Research,https://journals.sagepub.com/home/crx,Q1,159
Language Learning,https://onlinelibrary.wiley.com/journal/14679922,Q1,138
Cognition,https://www.journals.elsevier.com/cognition,Q1,718
Mind,https://academic.oup.com/mind,Q1,107
Quaternary Science Reviews,https://www.journals.elsevier.com/quaternary-science-reviews,Q1,1102
Communication Theory,https://academic.oup.com/ct,Q1,71
Computers in Human Behavior,https://www.journals.elsevier.com/computers-in-human-behavior,Q1,2031
Journal of Experimental Psychology: Learning Memory and Cognition,https://www.apa.org/pubs/journals/xlm/,Q1,426
Ethics,http://www.journals.uchicago.edu/toc/et/current,Q1,94
Science Education,https://onlinelibrary.wiley.com/journal/1098237x,Q1,145
Language Learning and Technology,https://www.lltjournal.org//,Q1,104
Communication Monographs,http://www.informaworld.com/smpp/title~content=t713695619~db=all,Q1,81
