Nombre,Enlace,Categoria,CantidadArticulos
Kongzhi yu Juece/Control and Decision,https://www.scimagojr.com/journalsearch.php?q=79015&tip=sid&clean=0,Q4,978
Sao Paulo Journal of Mathematical Sciences,https://www.scimagojr.com/journalsearch.php?q=21100901061&tip=sid&clean=0,Q4,81
Statistical Theory and Related Fields,https://www.scimagojr.com/journalsearch.php?q=21100923463&tip=sid&clean=0,Q4,57
Biologically Inspired Cognitive Architectures,https://www.scimagojr.com/journalsearch.php?q=21100218522&tip=sid&clean=0,Q4,119
International Journal of Knowledge Management,http://www.igi-global.com/Bookstore/TitleDetails.aspx?TitleId=1083,Q4,57
Complex Adaptive Systems Modeling,https://www.scimagojr.com/journalsearch.php?q=21100873337&tip=sid&clean=0,Q4,42
"Journal of Institute of Control, Robotics and Systems",https://www.scimagojr.com/journalsearch.php?q=21100201073&tip=sid&clean=0,Q4,464
Journal of Multiple-Valued Logic and Soft Computing,https://www.oldcitypublishing.com/journals/mvlsc-home/,Q4,177
International Journal of e-Business Research,http://www.igi-global.com/Bookstore/TitleDetails.aspx?TitleId=1088,Q4,60
Ruan Jian Xue Bao/Journal of Software,http://www.jos.org.cn/josen/ch/first_menu.aspx?parent_id=20171221035939702,Q4,739
Journal of Imaging Science and Technology,http://scitation.aip.org/dbt/dbt.jsp?KEY=JIMTE6&Volume=LASTVOL&Issue=LASTISS,Q4,171
Intelligenza Artificiale,https://www.scimagojr.com/journalsearch.php?q=21100900308&tip=sid&clean=0,Q4,18
Journal of Statistical Distributions and Applications,https://www.scimagojr.com/journalsearch.php?q=21100901137&tip=sid&clean=0,Q4,35
Imaging Science Journal,https://www.tandfonline.com/loi/yims20,Q4,136
"International Journal of Technological Learning, Innovation and Development",https://www.scimagojr.com/journalsearch.php?q=20000195008&tip=sid&clean=0,Q4,52
Organised Sound,https://www.cambridge.org/core/journals/organised-sound,Q4,106
Bulletin of TICMI,https://www.emis.de/journals/TICMI/,Q4,32
Computer Methods in Materials Science,http://www.cmms.agh.edu.pl/,Q4,52
Defence Science Journal,http://publications.drdo.gov.in/ojs/index.php/dsj/index,Q4,294
Journal of Applied Analysis,https://www.degruyter.com/view/j/jaa?lang=en,Q4,58
Procesamiento de Lenguaje Natural,https://www.scimagojr.com/journalsearch.php?q=21100195304&tip=sid&clean=0,Q4,131
Journal of Educational Multimedia and Hypermedia,https://www.aace.org/pubs/jemh/,Q4,68
Language Documentation and Conservation,http://nflrc.hawaii.edu/ldc/,Q4,48
International Journal of Nanoscience,https://www.worldscientific.com/worldscinet/ijn,Q4,150
"Journal of Music, Technology and Education",https://www.scimagojr.com/journalsearch.php?q=21100223145&tip=sid&clean=0,Q4,54
Informatsionno-Upravliaiushchie Sistemy,https://www.scimagojr.com/journalsearch.php?q=21100902603&tip=sid&clean=0,Q4,76
Journal of Intelligent Systems,https://www.degruyter.com/view/journals/jisys/jisys-overview.xml,Q4,153
JLIS.it,https://www.jlis.it/,Q4,83
International Journal of Manufacturing Technology and Management,http://www.inderscience.com/browse/index.php?journalID=21,Q4,92
International Journal of Data Warehousing and Mining,https://www.igi-global.com/journal/international-journal-data-warehousing-mining/1085,Q4,47
Journal of Theoretical and Computational Chemistry,http://www.worldscinet.com/jtcc/jtcc.shtml,Q4,211
