Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Journal of Nutrition and Metabolism,0.637 ,Q3,37,53,128,https://www.hindawi.com/journals/jnme/,2090-0724/2090-0732,A2
Nutrition and Dietetics,0.625 ,Q3,28,118,216,http://www.wiley.com/bw/journal.asp?ref=1446-6368,1446-6368/1747-0080,B
Polish Journal of Food and Nutrition Sciences,0.600 ,Q3,23,36,108,http://journal.pan.olsztyn.pl/,1230-0322/2083-6007,A2
Oncology Nursing Forum,0.588 ,Q3,84,86,308,http://ons.metapress.com/content/0190-535X/,0190-535X/1538-0688,A2
Seminars in Oncology Nursing,0.578 ,Q3,42,77,158,http://www.elsevier.com/wps/find/journaldescription.cws_home/623110/description#description,0749-2081/1878-3449,B
Journal of Hunger and Environmental Nutrition,0.562 ,Q3,25,94,128,https://www.scimagojr.com/journalsearch.php?q=7600153124&tip=sid&clean=0,1932-0248/1932-0256,A2
Journal of Medicinal Food,0.551 ,Q3,75,154,458,https://www.liebertpub.com/loi/jmf,1096-620X/1557-7600,A2
Nutrition Research and Practice,0.527 ,Q3,29,64,209,https://e-nrp.org/,1976-1457/2005-6168,A2
Clinical Nutrition ESPEN,0.500 ,Q3,12,172,312,https://www.journals.elsevier.com/clinical-nutrition-espen,2405-4577,B
Clinical Nutrition Experimental,0.496 ,Q3,8,51,58,https://www.journals.elsevier.com/clinical-nutrition-experimental,2352-9393,B
Nestle Nutrition Institute Workshop Series,0.462 ,Q3,28,48,112,https://www.scimagojr.com/journalsearch.php?q=21100232211&tip=sid&clean=0,Sin informacion,No
Journal of Housing for the Elderly,0.461 ,Q3,24,32,74,https://www.tandfonline.com/toc/wjhe20/current,0276-3893/1540-353X,A2
Minerva Gastroenterologica e Dietologica,0.461 ,Q3,26,54,139,http://www.minervamedica.it/en/journals/gastroenterologica-dietologica/index.php,1121-421X,B
Preventive Nutrition and Food Science,0.457 ,Q3,20,62,163,https://www.scimagojr.com/journalsearch.php?q=21100208077&tip=sid&clean=0,2287-1098/2287-8602,A2
Asia Pacific Journal of Clinical Nutrition,0.442 ,Q3,72,105,451,http://www3.interscience.wiley.com/journal/119485119/home,0964-7058/1440-6047,B
Journal of Nutritional Science and Vitaminology,0.434 ,Q3,53,134,197,http://editors.capj.or.jp/~jnsv_web/index.html,0301-4800/1881-7742,B
Journal of Dietary Supplements,0.416 ,Q3,24,78,193,http://informahealthcare.com/loi/jds,1939-0211/1939-022X,A2
Clinical Teacher,0.413 ,Q3,23,185,377,http://www.wiley.com/bw/journal.asp?ref=1743-4971&site=1,1743-4971/1743-498X,B
"Philosophy, Ethics, and Humanities in Medicine",0.407 ,Q3,26,15,35,http://www.peh-med.com/,Sin informacion,No
HEC Forum,0.399 ,Q3,20,29,76,http://www.springer.com/sociology/applied+ethics/journal/10730,0956-2737/1572-8498,A2
Clinical Journal of Oncology Nursing,0.394 ,Q3,41,132,462,http://www.ons.org/Publications/CJON/,1092-1095/1538-067X,B
Journal of Nutrition in Gerontology and Geriatrics,0.394 ,Q3,19,27,56,https://www.tandfonline.com/loi/wjne21,2155-1197/2155-1200,B
Journal of Nutrition and Intermediary Metabolism,0.392 ,Q3,8,33,65,https://www.journals.elsevier.com/journal-of-nutrition-and-intermediary-metabolism,2352-3859,B
European Geriatric Medicine,0.385 ,Q3,20,136,379,https://www.scimagojr.com/journalsearch.php?q=19700175204&tip=sid&clean=0,1878-7649/1878-7657,B
AMA journal of ethics,0.382 ,Q3,18,166,482,https://journalofethics.ama-assn.org/home,2376-6980,B
Online Journal of Issues in Nursing,0.366 ,Q3,38,13,96,http://www.nursingworld.org/ojin/,1091-3734,B
Nutrition and Health,0.352 ,Q3,24,36,68,https://www.scimagojr.com/journalsearch.php?q=13310&tip=sid&clean=0,0260-1060/2047-945X,B
Canadian Journal of Dietetic Practice and Research,0.347 ,Q3,30,37,126,http://dcjournal.metapress.com/home/main.mpx,1486-3847/2292-9592,B
Theoretical Medicine and Bioethics,0.339 ,Q3,37,33,95,http://www.springer.com/philosophy/philosophy+of+sciences/journal/11017,1386-7415/1573-1200,B
Bulletin of the Menninger Clinic,0.335 ,Q3,39,21,58,https://www.guilford.com/journals/Bulletin-of-the-Menninger-Clinic/Eric-Storch/00259284,0025-9284/1943-2828,A2
Clinical and Experimental Emergency Medicine,0.335 ,Q3,3,53,43,https://www.scimagojr.com/journalsearch.php?q=21100905055&tip=sid&clean=0,2383-4625,A2
Fat Studies,0.333 ,Q3,11,43,56,https://www.tandfonline.com/toc/ufts20/current,2160-4851/2160-486X,A1
Kennedy Institute of Ethics Journal,0.320 ,Q3,40,24,77,https://www.press.jhu.edu/journals/kennedy-institute-ethics-journal,1054-6863/1086-3249,A2
Perspectives in Biology and Medicine,0.318 ,Q3,47,47,170,http://muse.jhu.edu/journals/perspectives_in_biology_and_medicine/,0031-5982/1529-8795,A2
Zeitschrift fur Gerontologie und Geriatrie,0.317 ,Q3,37,204,389,http://www.springer.com/medicine/family/journal/391,0948-6704/1435-1269,B
Geriatrics (Switzerland),0.316 ,Q3,5,66,162,https://www.scimagojr.com/journalsearch.php?q=21100943373&tip=sid&clean=0,Sin informacion,No
Nutrition Today,0.315 ,Q3,22,38,126,http://journals.lww.com/nutritiontodayonline/pages/default.aspx,0029-666X/1538-9839,B
"Endocrinologia, Diabetes y Nutricion",0.312 ,Q3,22,135,326,https://www.journals.elsevier.com/endocrinologia-diabetes-y-nutricion,Sin informacion,No
Nursing Clinics of North America,0.308 ,Q3,30,59,172,http://www.nursing.theclinics.com/,0029-6465/1558-1357,B
Nursing for Women's Health,0.308 ,Q3,16,64,219,http://www.wiley.com/bw/journal.asp?ref=1751-4851,Sin informacion,No
Journal of Food and Nutrition Research,0.307 ,Q3,22,38,124,http://www.vup.sk/en/index.php?mainID=2&navID=14&start,1336-8672/1338-4260,B
Mental Health and Social Inclusion,0.305 ,Q3,11,37,103,https://www.scimagojr.com/journalsearch.php?q=19700175275&tip=sid&clean=0,2042-8308/2042-8316,B
AACN Advanced Critical Care,0.304 ,Q3,41,56,178,http://aacnacconline.org/,1559-7768/1559-7776,B
Journal of Korean Academy of Nursing,0.302 ,Q3,22,67,214,https://jkan.or.kr/index.php,2005-3673/2093-758X,B
Open Nursing Journal,0.298 ,Q3,13,27,70,https://benthamopen.com/TONURSJ/home/,1874-4346,B
Explore: The Journal of Science and Healing,0.293 ,Q3,32,89,249,https://www.journals.elsevier.com/explore,Sin informacion,No
Escola Anna Nery Revista de Enfermagem,0.289 ,Q3,3,0,6,http://eean.edu.br/default.asp?,Sin informacion,No
"Activities, Adaptation and Aging",0.286 ,Q3,22,37,57,http://www.informaworld.com/smpp/title~content=t792303956~db=all,Sin informacion,No
Korean Journal of Adult Nursing,0.286 ,Q3,8,60,185,https://www.scimagojr.com/journalsearch.php?q=21100201057&tip=sid&clean=0,1225-4886/2288-338X,B
Journal of Child and Adolescent Psychiatric Nursing,0.285 ,Q3,34,29,74,https://onlinelibrary.wiley.com/journal/17446171,1073-6077/1744-6171,B
