Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Astroparticle Physics,1.143 ,Q2,109,54,270,https://www.journals.elsevier.com/astroparticle-physics,0927-6505/1873-2852,A2
Acta Astronomica,1.046 ,Q2,56,20,75,http://acta.astrouw.edu.pl/,0001-5237,A2
Celestial Mechanics and Dynamical Astronomy,0.969 ,Q2,52,62,219,http://www.springer.com/astronomy/journal/10569,0923-2958/1572-9478,A1
Journal of High Energy Physics,0.948 ,Q2,209,2289,6305,http://www.springer.com/physics/particle+and+nuclear+physics/journal/13130,1029-8479/1126-6708,A1
Astronomy and Computing,0.912 ,Q2,20,38,136,https://www.journals.elsevier.com/astronomy-and-computing,2213-1337/2213-1345,A1
Solar Physics,0.887 ,Q2,114,175,576,http://www.springer.com/astronomy/astrophysics+and+astroparticles/journal/11207,0038-0938/1573-093X,A2
Molecular Astrophysics,0.879 ,Q2,8,6,37,https://www.journals.elsevier.com/molecular-astrophysics,2405-6758,A1
Letters in Mathematical Physics,0.877 ,Q2,54,117,295,http://www.springer.com/physics/journal/11005,0377-9017/1573-0530,A2
Journal of High Energy Astrophysics,0.824 ,Q2,13,13,25,https://www.scimagojr.com/journalsearch.php?q=21100318420&tip=sid&clean=0,2214-4048/2214-4056,A2
Journal of Cosmology and Astroparticle Physics,0.813 ,Q2,107,694,1997,http://www.iop.org/EJ/journal/JCAP,1475-7516,A1
Frontiers of Physics,0.797 ,Q2,34,79,319,https://www.scimagojr.com/journalsearch.php?q=19700201416&tip=sid&clean=0,2095-0462/2095-0470,A2
Journal of Plasma Physics,0.795 ,Q2,41,22,314,https://www.cambridge.org/core/journals/journal-of-plasma-physics,0022-3778/1469-7807,A2
Annals of Physics,0.794 ,Q2,97,198,792,https://www.journals.elsevier.com/annals-of-physics,0003-4916/1096-035X,A2
Transactions of Nonferrous Metals Society of China,0.793 ,Q2,61,265,941,https://www.scimagojr.com/journalsearch.php?q=27854&tip=sid&clean=0,1003-6326/2210-3384,A1
Nanoscale Research Letters,0.792 ,Q2,95,399,1612,https://nanoscalereslett.springeropen.com/,1556-276X/1931-7573,A1
Optics and Laser Technology,0.792 ,Q2,70,747,1265,https://www.journals.elsevier.com/optics-and-laser-technology/,0030-3992/1879-2545,A1
"Journal of Physics B: Atomic, Molecular and Optical Physics",0.791 ,Q2,112,301,1179,http://iopscience.iop.org/journal/0953-4075,Sin informacion,No
Semiconductor Science and Technology,0.790 ,Q2,107,341,846,https://iopscience.iop.org/journal/0268-1242,0268-1242/1361-6641,A1
Journal of Chemical Thermodynamics,0.787 ,Q2,82,412,1114,https://www.journals.elsevier.com/the-journal-of-chemical-thermodynamics,0021-9614/1096-3626,A1
Journal of Mathematical Imaging and Vision,0.784 ,Q2,68,90,239,http://www.springer.com/computer+science/image+processing/journal/10851,0924-9907/1573-7683,A1
Advances in Nano Research,0.779 ,Q2,10,27,48,http://www.techno-press.org/?journal=anr&subpage=1,2287-237X/2287-2388,A1
Progress of Theoretical and Experimental Physics,0.774 ,Q2,34,89,525,https://www.scimagojr.com/journalsearch.php?q=21100237615&tip=sid&clean=0,2050-3911,A2
Planetary and Space Science,0.773 ,Q2,87,137,474,http://www.elsevier.com/wps/find/journaldescription.cws_home/200/description#description,0032-0633,A2
Physical Review Physics Education Research,0.771 ,Q2,17,90,264,https://journals.aps.org/prper/,2469-9896,A1
Journal of the Physical Society of Japan,0.770 ,Q2,126,391,1284,http://jpsj.ipap.jp/,0031-9015/1347-4073,A2
Interfaces and Free Boundaries,0.767 ,Q2,33,16,59,https://www.ems-ph.org/journals/journal.php?jrn=ifb,1463-9963/1463-9971,A2
Applied Optics,0.762 ,Q2,186,1447,4646,http://www.opticsinfobase.org/ao/Issue.cfm,1559-128X/2155-3165,A1
Fluid Phase Equilibria,0.762 ,Q2,111,345,1231,http://www.elsevier.com/wps/find/journaldescription.cws_home/502684/description#description,0378-3812,A1
Advances in Astronomy,0.761 ,Q2,30,36,35,https://www.scimagojr.com/journalsearch.php?q=19700182336&tip=sid&clean=0,1687-7969/1687-7977,A2
Europhysics Letters,0.754 ,Q2,150,486,1833,http://www.iop.org/EJ/journal/EPL,0295-5075/1286-4854,A2
Materials Letters,0.753 ,Q2,135,1824,5289,https://www.journals.elsevier.com/materials-letters,0167-577X/1873-4979,A1
International Journal of Modern Physics D,0.751 ,Q2,75,261,796,http://www.worldscinet.com/ijmpd/ijmpd.shtml,0218-2718/1793-6594,A2
"Annales de l'Institut Henri Poincare (D) Combinatorics, Physics and their Interactions",0.750 ,Q2,7,19,40,https://www.ems-ph.org/journals/journal.php?jrn=aihpd,Sin informacion,No
Journal of Adhesion,0.742 ,Q2,48,114,225,http://www.informaworld.com/smpp/title~content=t713453635~db=all,0021-8464/1545-5823,A1
Journal of Statistical Physics,0.742 ,Q2,99,263,761,http://www.springer.com/physics/complexity/journal/10955,0022-4715/1572-9613,A2
Optics and Photonics News,0.742 ,Q2,45,22,92,https://www.scimagojr.com/journalsearch.php?q=12350&tip=sid&clean=0,Sin informacion,No
Annales Geophysicae,0.740 ,Q2,88,87,346,http://www.ann-geophys.net/volumes_and_issues.html,0992-7689/1432-0576,A1
Physics of Plasmas,0.732 ,Q2,153,926,4146,https://aip.scitation.org/journal/php,1070-664X/1089-7674,A2
Journal of Applied Physics,0.728 ,Q2,307,2054,6652,https://aip.scitation.org/journal/jap,0021-8979/1089-7550,A2
Journal of Materials Research,0.726 ,Q2,142,410,1289,https://www.cambridge.org/core/journals/journal-of-materials-research,0884-2914/2044-5326,A1
Acta Crystallographica Section A: Foundations and Advances,0.724 ,Q2,79,88,181,http://journals.iucr.org/a/,Sin informacion,No
Materials Science and Technology,0.723 ,Q2,83,268,730,https://www.tandfonline.com/loi/ymst20,0267-0836/1743-2847,A1
Open Systems and Information Dynamics,0.722 ,Q2,30,25,75,http://www.springer.com/physics/complexity/journal/11080,1230-1612/1573-1324,A1
Reviews in Mathematical Physics,0.722 ,Q2,45,58,112,http://www.worldscinet.com/rmp/rmp.shtml,0129-055X/1793-6659,A2
Universe,0.715 ,Q2,16,225,263,https://www.scimagojr.com/journalsearch.php?q=21100903488&tip=sid&clean=0,2218-1997,A2
Meccanica,0.714 ,Q2,57,172,696,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/11012,0025-6455/1572-9648,A1
Biomicrofluidics,0.713 ,Q2,57,114,421,http://bmf.aip.org/,1932-1058,A1
Journal of Mathematical Physics,0.713 ,Q2,102,465,1437,http://jmp.aip.org/,0022-2488/1089-7658,A2
Journal of Non-Crystalline Solids,0.712 ,Q2,135,546,1549,http://www.elsevier.com/wps/find/journaldescription.cws_home/505709/description#description,Sin informacion,No
Physica A: Statistical Mechanics and its Applications,0.712 ,Q2,151,1713,3654,https://www.journals.elsevier.com/physica-a-statistical-mechanics-and-its-applications,Sin informacion,No
Journal of Thermal Spray Technology,0.710 ,Q2,80,152,455,http://www.springer.com/materials/surfaces+interfaces/journal/11666,1059-9630/1544-1016,A1
Materials Chemistry and Physics,0.709 ,Q2,143,991,2455,http://www.elsevier.com/wps/find/journaldescription.cws_home/504097/description#description,0254-0584/1879-3312,A2
General Relativity and Gravitation,0.707 ,Q2,76,167,476,http://www.springer.com/physics/journal/10714,0001-7701/1572-9532,A2
Optics Communications,0.698 ,Q2,128,1002,2905,https://www.journals.elsevier.com/optics-communications,0030-4018/1873-0310,A1
"Numerical Heat Transfer, Part B: Fundamentals",0.696 ,Q2,54,39,173,https://www.tandfonline.com/toc/unhb20/current,Sin informacion,No
Physical Mesomechanics,0.696 ,Q2,27,56,165,http://www.elsevier.com/wps/find/journaldescription.cws_home/713333/description#description,1029-9599/1990-5424,A2
Molecular Imaging,0.692 ,Q2,59,17,83,https://journals.sagepub.com/home/mix,1535-3508/1536-0121,A2
Modelling and Simulation in Materials Science and Engineering,0.686 ,Q2,75,128,357,http://www.iop.org/EJ/journal/MSMSE,0965-0393/1361-651X,A2
Steel Research International,0.686 ,Q2,46,211,556,https://onlinelibrary.wiley.com/journal/1869344x,1611-3683/1869-344X,A1
Rheologica Acta,0.683 ,Q2,75,56,229,http://www.springer.com/materials/characterization+%26+evaluation/journal/397,0035-4511/1435-1528,A2
"Journal of Polymer Science, Part B: Polymer Physics",0.678 ,Q2,141,159,573,http://www3.interscience.wiley.com/journal/117932503/grouphome/home.html,Sin informacion,No
Plasma Processes and Polymers,0.674 ,Q2,69,102,382,https://onlinelibrary.wiley.com/journal/16128869,1612-8850/1612-8869,A1
Applied Physics B: Lasers and Optics,0.671 ,Q2,126,234,828,http://www.springer.com/physics/journal/340,Sin informacion,No
"Journal of the Optical Society of America A: Optics and Image Science, and Vision",0.670 ,Q2,150,309,908,http://www.opticsinfobase.org/josaa/Issue.cfm,Sin informacion,No
Materials Science in Semiconductor Processing,0.665 ,Q2,54,472,1266,http://www.elsevier.com/wps/find/journaldescription.cws_home/600849/description#description,1369-8001/1873-4081,A1
Journal of Physics and Chemistry of Solids,0.664 ,Q2,103,468,1017,http://www.elsevier.com/wps/find/journaldescription.cws_home/229/description#description,0022-3697/1879-2553,A2
Surfaces and Interfaces,0.664 ,Q2,16,144,241,https://www.journals.elsevier.com/surfaces-and-interfaces,2468-0230,A1
Beilstein Journal of Nanotechnology,0.663 ,Q2,54,197,761,https://www.beilstein-journals.org/bjnano/home,2190-4286,A1
IEEE Transactions on Semiconductor Manufacturing,0.659 ,Q2,62,87,200,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=66,0894-6507/1558-2345,A1
Journal of Magnetism and Magnetic Materials,0.658 ,Q2,162,1480,3681,http://www.elsevier.com/wps/find/journaldescription.cws_home/505704/description#description,0304-8853/1873-4766,A2
Synthetic Metals,0.658 ,Q2,137,247,806,http://www.elsevier.com/wps/find/journaldescription.cws_home/504105/description#description,0379-6779,A1
Advances in Space Research,0.657 ,Q2,86,588,1425,https://www.journals.elsevier.com/advances-in-space-research,0273-1177/1879-1948,A1
"Science China: Physics, Mechanics and Astronomy",0.656 ,Q2,46,167,451,https://www.scimagojr.com/journalsearch.php?q=19600166401&tip=sid&clean=0,Sin informacion,No
International Journal of Spray and Combustion Dynamics,0.650 ,Q2,14,4,83,https://www.scimagojr.com/journalsearch.php?q=19800188068&tip=sid&clean=0,1756-8277/1756-8285,A1
Materials,0.647 ,Q2,98,4172,5177,https://www.mdpi.com/journal/materials,1996-1944,A2
Materials at High Temperatures,0.646 ,Q2,36,56,186,https://www.tandfonline.com/toc/ymht20/current,0960-3409/1878-6413,A1
Continuum Mechanics and Thermodynamics,0.645 ,Q2,47,154,273,https://www.springer.com/journal/161,0935-1175/1432-0959,A2
Heat Transfer Engineering,0.644 ,Q2,58,251,426,https://www.tandfonline.com/loi/uhte20,0145-7632/1521-0537,A1
Philosophical Magazine,0.637 ,Q2,83,165,613,http://www.informaworld.com/smpp/title~content=t713695589~db=all,1478-6435/1478-6443,A2
Liquid Crystals,0.636 ,Q2,73,324,694,http://www.informaworld.com/smpp/title~content=t713926090~db=all,0267-8292/1366-5855,A2
Physics and Imaging in Radiation Oncology,0.631 ,Q2,8,57,91,https://www.scimagojr.com/journalsearch.php?q=21100920649&tip=sid&clean=0,2405-6316,A2
Journal of Electroceramics,0.630 ,Q2,69,43,147,http://www.springer.com/materials/optical+%26+electronic+materials/journal/10832,1385-3449/1573-8663,A1
Journal of Luminescence,0.626 ,Q2,110,873,2457,http://www.elsevier.com/wps/find/journaldescription.cws_home/505700/description#description,0022-2313/1872-7883,A1
Review of Scientific Instruments,0.625 ,Q2,153,977,3734,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4915264,0034-6748/1089-7623,A2
Acta Crystallographica Section F:Structural Biology Communications,0.624 ,Q2,35,111,363,https://www.scimagojr.com/journalsearch.php?q=21100326880&tip=sid&clean=0,Sin informacion,No
Journal of Photochemistry and Photobiology A: Chemistry,0.624 ,Q2,152,556,1509,http://www.elsevier.com/wps/find/journaldescription.cws_home/504091/description#description,Sin informacion,No
Advances in Production Engineering And Management,0.622 ,Q2,14,38,102,http://apem-journal.org/,1854-6250/1855-6531,A1
Macromolecular Chemistry and Physics,0.621 ,Q2,108,255,819,http://www3.interscience.wiley.com/journal/117932055/grouphome,1022-1352/1521-3935,A1
Solid State Nuclear Magnetic Resonance,0.620 ,Q2,58,56,126,http://www.elsevier.com/wps/find/journaldescription.cws_home/622947/description#description,0926-2040/1527-3326,A2
European Physical Journal Plus,0.618 ,Q2,46,617,1535,https://www.springer.com/journal/13360,2190-5444,A1
Research in Nondestructive Evaluation,0.617 ,Q2,29,23,48,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/164,0934-9847/1432-2110,A2
"European Journal of Mechanics, B/Fluids",0.615 ,Q2,64,178,423,http://www.elsevier.com/wps/find/journaldescription.cws_home/600738/description#description,Sin informacion,No
Nuclear Physics A,0.614 ,Q2,156,396,731,http://www.elsevier.com/wps/find/journaldescription.cws_home/505715/description#description,0375-9474/1873-1554,A2
Waves in Random and Complex Media,0.614 ,Q2,43,146,192,http://www.informaworld.com/smpp/title~content=t716100762~db=all,1745-5030/1745-5049,A1
High Pressure Research,0.612 ,Q2,42,77,138,http://www.informaworld.com/smpp/title~content=t713679167~db=all,0895-7959/1477-2299,A2
Microscopy and Microanalysis,0.611 ,Q2,64,186,419,https://www.cambridge.org/core/journals/microscopy-and-microanalysis,1431-9276/1435-8115,A1
Tribology Transactions,0.611 ,Q2,64,121,363,http://www.informaworld.com/smpp/title~content=t713669620~db=all,1040-2004/1547-397X,A2
Quantum Information Processing,0.610 ,Q2,51,382,970,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/11128,1570-0755/1573-1332,A1
Surface Science,0.609 ,Q2,139,165,749,https://www.journals.elsevier.com/surface-science,0039-6028/1879-2758,A2
Journal of Nuclear Science and Technology,0.608 ,Q2,59,130,516,http://wwwsoc.nii.ac.jp/aesj/jnst/,0022-3131/1881-1248,A2
Cryogenics,0.606 ,Q2,56,116,366,http://www.elsevier.com/wps/find/journaldescription.cws_home/30407/description#description,0011-2275/1879-2235,A2
Frontiers in Astronomy and Space Sciences,0.605 ,Q2,11,81,141,https://www.scimagojr.com/journalsearch.php?q=21100944560&tip=sid&clean=0,2296-987X,A2
Results in Physics,0.605 ,Q2,41,1006,1544,https://www.journals.elsevier.com/results-in-physics,2211-3797,A1
IEEE Transactions on Nuclear Science,0.604 ,Q2,116,324,1146,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=23,0018-9499/1558-1578,A2
Metals and Materials International,0.604 ,Q2,39,362,457,http://www.springer.com/materials/special+types/journal/12540,1598-9623/2005-4149,A1
Combustion Science and Technology,0.603 ,Q2,73,266,396,http://www.informaworld.com/smpp/title~content=t713456315~db=all,0010-2202/1563-521X,A1
Journal of Heat Transfer,0.601 ,Q2,120,165,699,https://asmedigitalcollection.asme.org/heattransfer,Sin informacion,No
Microgravity Science and Technology,0.601 ,Q2,31,90,209,http://www.springer.com/astronomy/space+exploration/journal/12217,0938-0108/1875-0494,A1
Frontiers in Physics,0.597 ,Q2,19,228,214,https://www.frontiersin.org/journals/physics,2296-424X,A2
Particuology,0.596 ,Q2,53,137,323,http://www.elsevier.com/wps/find/journaldescription.cws_home/714856/description#description,1674-2001/2210-4291,A2
Radiation Physics and Chemistry,0.596 ,Q2,76,356,1049,http://www.elsevier.com/wps/find/journaldescription.cws_home/331/description#description,0969-806X,A1
Crystals,0.594 ,Q2,28,648,1013,https://www.mdpi.com/journal/crystals,2073-4352,A2
Optical Materials,0.594 ,Q2,98,770,2040,http://www.elsevier.com/wps/find/journaldescription.cws_home/522512/description#description,0925-3467/1873-1252,A1
Physics Today,0.594 ,Q2,108,118,400,https://www.scimagojr.com/journalsearch.php?q=29234&tip=sid&clean=0,Sin informacion,No
Chinese Optics Letters,0.592 ,Q2,35,229,739,https://www.osapublishing.org/col/home.cfm,1671-7694,A2
Radiation Measurements,0.591 ,Q2,91,156,535,http://www.elsevier.com/wps/find/journaldescription.cws_home/286/description#description,1350-4487,A2
Plasma Chemistry and Plasma Processing,0.590 ,Q2,61,98,275,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/11090,0272-4324/1572-8986,A2
Diamond and Related Materials,0.589 ,Q2,108,310,765,https://www.journals.elsevier.com/diamond-and-related-materials,0925-9635/1879-0062,A2
Microelectronic Engineering,0.589 ,Q2,96,236,865,http://www.elsevier.com/wps/find/journaldescription.cws_home/405904/description#description,0167-9317/1873-5568,A2
"Microscopy (Oxford, England)",0.589 ,Q2,50,53,211,https://academic.oup.com/jmicro,Sin informacion,No
Astronomische Nachrichten,0.588 ,Q2,52,155,389,https://onlinelibrary.wiley.com/journal/15213994,0004-6337/1521-3994,A2
"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",0.588 ,Q2,106,218,701,https://avs.scitation.org/journal/jva,Sin informacion,No
Computer Optics,0.586 ,Q2,27,125,364,http://computeroptics.smr.ru/eng/index.html,0134-2452,A1
Journal of Molecular Spectroscopy,0.586 ,Q2,65,89,392,http://www.elsevier.com/wps/find/journaldescription.cws_home/622891/description#description,0022-2852/1096-083X,A2
Journal of the Korean Astronomical Society,0.586 ,Q2,16,17,67,https://www.scimagojr.com/journalsearch.php?q=12100154807&tip=sid&clean=0,1225-4614/2288-890X,A2
Journal of the Society for Information Display,0.585 ,Q2,49,79,239,http://sid.aip.org/,1071-0922/1938-3657,A2
Soldering and Surface Mount Technology,0.585 ,Q2,30,40,83,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=ssmt,0954-0911/1758-6836,A1
JETP Letters,0.583 ,Q2,71,292,912,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/11448,0021-3640/1090-6487,A2
European Physical Journal: Special Topics,0.581 ,Q2,70,219,620,http://www.springer.com/materials/journal/11734,Sin informacion,No
Photonics and Nanostructures - Fundamentals and Applications,0.575 ,Q2,37,46,167,http://www.elsevier.com/wps/find/journaldescription.cws_home/658453/description#description,Sin informacion,No
Journal of Tribology,0.574 ,Q2,79,137,486,https://asmedigitalcollection.asme.org/tribology,Sin informacion,No
Flow Measurement and Instrumentation,0.573 ,Q2,53,150,350,http://www.elsevier.com/wps/find/journaldescription.cws_home/30417/description#description,0955-5986/1873-6998,A2
