Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Journal of Experimental Psychology: Applied,1.232 ,Q2,81,73,114,https://www.apa.org/pubs/journals/xap/,Sin informacion,No
Psycho-Oncology,1.218 ,Q2,131,319,921,https://onlinelibrary.wiley.com/journal/10991611,Sin informacion,No
Topics in Cognitive Science,1.207 ,Q2,51,97,178,https://onlinelibrary.wiley.com/journal/17568765,1756-8757/1756-8765,A1
Animal Cognition,1.125 ,Q2,72,102,295,https://www.springer.com/journal/10071,1435-9448/1435-9456,A1
Cognitive Research: Principles and Implications,1.087 ,Q2,11,50,134,https://www.scimagojr.com/journalsearch.php?q=21100935976&tip=sid&clean=0,Sin informacion,No
Sleep Health,1.083 ,Q2,20,103,239,https://www.journals.elsevier.com/sleep-health,2352-7218,A1
Reading and Writing,1.076 ,Q2,69,120,275,https://www.springer.com/journal/11145,2079-8245/2308-1422,C
Consciousness and Cognition,1.074 ,Q2,102,121,509,http://www.elsevier.com/wps/find/journaldescription.cws_home/622810/description#description,1053-8100/1090-2376,A1
Canadian Journal of Experimental Psychology,1.059 ,Q2,57,42,90,https://www.apa.org/pubs/journals/cep/,1196-1961/1878-7290,A1
International Journal of Psychophysiology,1.059 ,Q2,119,155,465,https://www.journals.elsevier.com/international-journal-of-psychophysiology,0167-8760/1872-7697,A2
Social Development,1.055 ,Q2,87,93,174,https://onlinelibrary.wiley.com/journal/14679507,0961-205X/1467-9507,A1
Child Neuropsychology,1.042 ,Q2,70,75,174,https://www.tandfonline.com/loi/ncny20,0929-7049/1744-4136,A1
Journal of Pediatric Psychology,1.035 ,Q2,116,127,352,http://jpepsy.oxfordjournals.org/,0146-8693/1465-735X,A1
Preventing School Failure,1.024 ,Q2,11,41,94,https://www.tandfonline.com/toc/vpsf20/current,1045-988X/1940-4387,A1
Psychology and Health,1.007 ,Q2,85,124,269,https://www.tandfonline.com/loi/gpsh20,0887-0446/1476-8321,A1
Child Psychiatry and Human Development,1.003 ,Q2,55,105,276,https://www.springer.com/journal/10578,0009-398X/1573-3327,A1
International Gambling Studies,0.993 ,Q2,26,44,97,https://www.scimagojr.com/journalsearch.php?q=14000155911&tip=sid&clean=0,1445-9795/1479-4276,A2
Physiology and Behavior,0.993 ,Q2,153,388,1231,http://www.elsevier.com/wps/find/journaldescription.cws_home/525487/description#description,0031-9384/1873-507X,A1
British Journal of Health Psychology,0.989 ,Q2,84,54,174,http://www.bpsjournals.co.uk/journals/bjhp/,1359-107X/2044-8287,A1
"Aging, Neuropsychology, and Cognition",0.971 ,Q2,55,86,142,http://www.informaworld.com/smpp/title~content=t713657683~db=all,Sin informacion,No
Acta Psychologica,0.966 ,Q2,93,168,419,http://www.elsevier.com/wps/find/journaldescription.cws_home/505579/description#description,0001-6918/1873-6297,A1
Journal of Applied Sport Psychology,0.964 ,Q2,72,62,96,http://www.informaworld.com/smpp/title~content=t713768823~db=all,1041-3200/1533-1571,A2
Applied Psychology: Health and Well-Being,0.949 ,Q2,27,38,61,https://www.scimagojr.com/journalsearch.php?q=21100200437&tip=sid&clean=0,Sin informacion,No
Stress,0.949 ,Q2,76,97,204,http://informahealthcare.com/loi/sts,Sin informacion,No
Educational Psychology,0.948 ,Q2,64,114,273,http://www.informaworld.com/smpp/title~content=t713415498~db=all,0144-3410/1469-5820,A1
