Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
CA - A Cancer Journal for Clinicians,88.192,Q1,156,36,129,https://onlinelibrary.wiley.com/journal/15424863,Sin informacion,No
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,41.022,Q1,138,4,11,https://www.cdc.gov/mmwr/indrr_2020.html,Sin informacion,No
Nature Reviews Materials,36.691,Q1,80,85,288,https://www.nature.com/natrevmats/,2058-8437,A1
Quarterly Journal of Economics,36.220,Q1,246,30,123,http://www.mitpressjournals.org/loi/qjec,0033-5533/1531-4650,A1
Nature Reviews Molecular Cell Biology,29.997,Q1,411,115,382,https://www.nature.com/nrm/,1471-0072/1471-0080,A1
Nature Reviews Genetics,28.619,Q1,345,113,376,https://www.nature.com/nrg/,1471-0056/1471-0064,A1
Cell,24.698,Q1,747,581,1881,https://www.cell.com/cell/home,0092-8674/1097-4172,A1
Reviews of Modern Physics,21.938,Q1,316,40,131,https://journals.aps.org/rmp/,0034-6861/1539-0756,A1
Nature Reviews Cancer,21.287,Q1,418,138,366,https://www.nature.com/nrc/,1474-175X/1474-1768,A1
Journal of Political Economy,21.239,Q1,179,79,185,https://www.journals.uchicago.edu/toc/jpe/current,0022-3808/1537-534X,A1
Chemical Reviews,20.847,Q1,656,240,821,https://pubs.acs.org/journal/chreay,0009-2665/1520-6890,A1
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,20.617,Q1,95,12,50,https://www.cdc.gov/mmwr/indss_2020.html,Sin informacion,No
Nature Reviews Immunology,20.611,Q1,371,148,438,http://www.nature.com/nri/index.html,1474-1733/1474-1741,A1
Nature Methods,20.148,Q1,289,412,936,https://www.nature.com/nmeth/,1548-7091/1548-7105,A1
Nature Genetics,19.795,Q1,550,264,820,https://www.nature.com/ng/,1061-4036/1546-1718,A1
Nature Energy,19.635,Q1,92,222,555,https://www.nature.com/nenergy/,2058-7546,A1
"Vital & health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]",19.393,Q1,5,0,1,https://www.cdc.gov/nchs/products/series/series03.htm,Sin informacion,No
New England Journal of Medicine,18.291,Q1,987,1476,4597,https://www.nejm.org/,0028-4793/1533-4406,A1
Annual Review of Biochemistry,17.387,Q1,285,30,104,https://www.annualreviews.org/journal/biochem,Sin informacion,No
Journal of Finance,17.134,Q1,285,78,206,https://onlinelibrary.wiley.com/journal/15406261,0022-1082/1540-6261,A1
Nature Medicine,15.812,Q1,524,425,919,https://www.nature.com/nm/,1078-8956/1546-170X,A1
The Lancet Oncology,15.650,Q1,305,618,1958,https://www.thelancet.com/journals/lanonc/home,1470-2045/1474-5488,A1
Nature Reviews Chemistry,15.610,Q1,33,84,141,https://www.nature.com/natrevchem/,2397-3358,A1
Nature Nanotechnology,15.555,Q1,316,274,760,https://www.nature.com/nnano/,1748-3387/1748-3395,A1
Nature Materials,14.862,Q1,448,300,801,http://www.nature.com/nmat/index.html,1476-1122/1476-4660,A1
Nature Reviews Neuroscience,14.780,Q1,397,149,409,https://www.nature.com/nrn/,1471-003X/1471-0048,A1
Econometrica,14.563,Q1,179,61,186,https://onlinelibrary.wiley.com/journal/14680262,0012-9682/1468-0262,A1
The Lancet,14.554,Q1,747,1772,5213,https://www.thelancet.com/journals/lancet/home,0140-6736/1474-547X,A1
Chemical Society Reviews,14.490,Q1,471,275,941,https://www.rsc.org/journals-books-databases/about-journals/chem-soc-rev/,0306-0012/1460-4744,A1
Advances in Physics,14.432,Q1,108,4,15,https://www.tandfonline.com/toc/tadp20/current,0001-8732/1460-6976,A1
Review of Economic Studies,14.235,Q1,133,78,162,https://academic.oup.com/restud,0034-6527/1467-937X,A1
Nature,14.047,Q1,1159,3039,9630,http://www.nature.com/nature/index.html,0028-0836/1476-4687,A1
Annual Review of Immunology,13.842,Q1,289,24,73,https://www.annualreviews.org/journal/immunol,Sin informacion,No
American Economic Review,13.773,Q1,277,117,647,https://www.aeaweb.org/journals/aer,0002-8282/1944-7981,A1
Nature Neuroscience,13.723,Q1,398,261,734,https://www.nature.com/neuro/,1097-6256/1546-1726,A1
Nature Photonics,13.614,Q1,291,223,595,https://www.nature.com/nphoton/,1749-4885/1749-4893,A1
Nature Reviews Microbiology,13.160,Q1,276,179,450,http://www.nature.com/nrmicro/index.html,1740-1526/1740-1534,A1
Science,13.110,Q1,1124,2376,6816,http://www.sciencemag.org/magazine.dtl,0036-8075/1095-9203,A1
Energy and Environmental Sciences,13.024,Q1,311,282,889,https://www.rsc.org/journals-books-databases/about-journals/energy-environmental-science/,1754-5692/1754-5706,A1
Review of Financial Studies,12.837,Q1,174,96,335,https://academic.oup.com/rfs,0893-9454/1465-7368,A1
Academy of Management Annals,12.595,Q1,61,23,73,https://journals.aom.org/journal/annals,1941-6067/1941-6520,A1
Nature Biotechnology,12.565,Q1,426,380,1088,https://www.nature.com/nbt/,1087-0156/1546-1696,A1
Nature Reviews Disease Primers,12.268,Q1,71,89,242,https://www.nature.com/nrdp/,2056-676X,A1
Journal of Financial Economics,11.999,Q1,240,148,360,http://jfe.rochester.edu/index.htm,0304-405X,A1
Immunity,11.977,Q1,377,255,777,http://www.cell.com/immunity/home,1074-7613/1097-4180,A1
Cancer Cell,11.909,Q1,316,158,581,https://www.cell.com/cancer-cell/home,1535-6108/1878-3686,A1
Annual Review of Cell and Developmental Biology,11.782,Q1,211,30,79,https://www.annualreviews.org/journal/cellbio,Sin informacion,No
Journal of Labor Economics,11.572,Q1,102,50,128,https://www.journals.uchicago.edu/toc/jole/current,0734-306X/1537-5307,A1
