Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Journal of Chemical Neuroanatomy,0.854 ,Q4,78,98,244,http://www.elsevier.com/wps/find/journaldescription.cws_home/524994/description#description,0891-0618/1873-6300,B
Chemosensory Perception,0.471 ,Q4,26,28,47,http://www.springer.com/food+science/journal/12078,1936-5802/1936-5810,B
Advances in Cell Biology,0.442 ,Q4,5,0,7,https://www.scimagojr.com/journalsearch.php?q=71223&tip=sid&clean=0,Sin informacion,No
Zygote,0.435 ,Q4,44,85,240,http://journals.cambridge.org/action/displayJournal?jid=ZYG,0967-1994/1469-8730,C
Journal of Molecular Recognition,0.426 ,Q4,76,47,220,http://www3.interscience.wiley.com/journal/13149/home,0952-3499/1099-1352,B
Microbiology Resource Announcements,0.413 ,Q4,31,1079,4039,https://mra.asm.org/,2576-098X,C
Somatosensory and Motor Research (discontinued),0.407 ,Q4,47,0,68,http://informahealthcare.com/loi/smr,Sin informacion,No
Journal of Parasitic Diseases,0.394 ,Q4,17,105,605,https://www.springer.com/medicine/internal/journal/12639,0971-7196/0975-0703,C
Genetics Research International,0.378 ,Q4,8,2,21,https://www.hindawi.com/journals/gri/,2090-3154/2090-3162,C
Invertebrate Neuroscience,0.368 ,Q4,34,13,36,http://www.springer.com/biomed/neuroscience/journal/10158,1354-2516/1439-1104,C
Journal of Genetics,0.367 ,Q4,35,149,469,http://www.springer.com/life+sciences/journal/12041,0022-1333/0973-7731,C
Genome Integrity,0.355 ,Q4,19,3,21,https://www.scimagojr.com/journalsearch.php?q=19700201437&tip=sid&clean=0,2041-9414,C
Equine Veterinary Education,0.339 ,Q4,29,289,408,http://www.wiley.com/bw/journal.asp?ref=0957-7734,0957-7734/2042-3292,B
Journal of Human Growth and Development,0.337 ,Q4,10,49,139,https://www.revistas.usp.br/jhgd/about/submissions#authorGuidelines,Sin informacion,No
European Annals of Allergy and Clinical Immunology,0.333 ,Q4,32,38,141,https://www.scimagojr.com/journalsearch.php?q=50122&tip=sid&clean=0,1764-1489,C
International Journal of Design Creativity and Innovation,0.331 ,Q4,11,17,47,https://www.tandfonline.com/toc/tdci20/current,2165-0349/2165-0357,C
Medizinische Genetik,0.329 ,Q4,7,30,84,https://www.scimagojr.com/journalsearch.php?q=18963&tip=sid&clean=0,0936-5931/1863-5490,C
International Journal of Group Theory,0.327 ,Q4,7,19,64,http://ijgt.ui.ac.ir/,2251-7650/2251-7669,C
Proteomics Insights,0.324 ,Q4,6,0,5,https://www.scimagojr.com/journalsearch.php?q=21100199503&tip=sid&clean=0,Sin informacion,No
Journal of Geometry,0.309 ,Q4,19,56,173,http://www.springer.com/birkhauser/mathematics/journal/22,0047-2468/1420-8997,C
Immunological Medicine,0.308 ,Q4,13,28,126,https://www.scimagojr.com/journalsearch.php?q=21100870666&tip=sid&clean=0,2578-5826,C
Allergo Journal International,0.306 ,Q4,4,31,31,https://www.scimagojr.com/journalsearch.php?q=21100854121&tip=sid&clean=0,2197-0378,C
AIMS Neuroscience,0.303 ,Q4,10,15,57,http://www.aimspress.com/journal/neuroscience,2373-7972,C
Clinical Liver Disease,0.303 ,Q4,11,110,232,https://www.scimagojr.com/journalsearch.php?q=21100254589&tip=sid&clean=0,2046-2484,C
International Journal of Peptides,0.301 ,Q4,23,0,6,https://www.scimagojr.com/journalsearch.php?q=21100238623&tip=sid&clean=0,Sin informacion,No
Medical Journal of Cell Biology,0.296 ,Q4,5,25,31,https://www.scimagojr.com/journalsearch.php?q=21100894504&tip=sid&clean=0,2544-3577,C
Advances in Nonlinear Variational Inequalities,0.293 ,Q4,9,7,28,http://www.internationalpubls.com/,1092-910X,C
Future Virology,0.293 ,Q4,30,82,282,http://www.futuremedicine.com/loi/fvl,1746-0794/1746-0808,C
Network: Computation in Neural Systems,0.293 ,Q4,55,7,20,http://informahealthcare.com/loi/net,Sin informacion,No
"Neues Jahrbuch fur Mineralogie, Abhandlungen",0.293 ,Q4,28,9,60,http://www.schweizerbart.de/journals/njma,Sin informacion,No
Asian Perspective,0.292 ,Q4,19,29,87,http://www.asianperspective.org/,0258-9184,C
Journal of Lipids,0.291 ,Q4,5,0,3,https://www.hindawi.com/journals/jl/,Sin informacion,No
Allergo Journal,0.288 ,Q4,23,0,181,http://www.allergo-journal.de/home.do;jsessionid=1095584B4B334CE5027FE683DF0F53DC,2195-6405,C
Entomologica Fennica,0.281 ,Q4,20,20,61,https://www.scimagojr.com/journalsearch.php?q=19797&tip=sid&clean=0,0785-8760,C
